,Unnamed: 0,index_x,Unnamed: 0_x,Name,Prepro,Num Cluster,silhouette_avg,davies_bouldin_avg,index_y,Unnamed: 0_y,silhouette_avg_v,davies_bouldin_avg_v
0,0,0,0,CCS CODES,std,12,-0.0344552597735219,3.952052315558296,2,2,-0.0890305701738217,3.526000202237734
1,1,1,1,CCS CODES,max,12,0.1415276601034553,2.073287130914718,5,5,0.0537542735125245,2.983303529715864
2,2,2,2,CCS CODES,power,12,-0.10323902544223,4.019070328438002,8,8,-0.0544013122354239,3.932311121995099
3,3,3,3,LEVEL 3 CODES,std,12,-0.1153458952438352,4.5321422875445325,11,11,-0.0932175155632954,5.373369778583139
4,4,4,4,LEVEL 3 CODES,max,12,0.1003209254889182,2.440364138044834,14,5,0.053843526276865,3.4139066148374693
5,5,5,5,LEVEL 3 CODES,power,12,-0.108420081630526,4.935553157072423,17,8,-0.09258049055234,4.4592808078487405
6,6,6,6,threshold 0.95,std,12,-0.0606457992378967,4.962395219675287,20,11,-0.1536613336005762,6.058708186813703
7,7,7,7,threshold 0.95,max,12,0.0453775867738725,3.1451806619887748,23,14,-0.0330113617850586,4.6197202820645575
8,8,8,8,threshold 0.95,power,12,-0.1334321297789045,6.389013044764688,26,17,-0.1098387245096523,6.36045899733668
9,9,9,9,threshold 0.88,std,12,-0.1202455947615363,5.251006442532235,29,20,-0.1360797086063858,6.017608395228471
10,10,10,10,threshold 0.88,max,12,0.0649518240480918,2.6876916822150787,32,23,-0.0195748660870413,4.266545013968221
11,11,11,11,threshold 0.88,power,12,-0.1201302540433247,5.576564579789741,35,26,-0.1180080974851491,5.984630065946108
12,12,12,12,threshold 0.98,std,12,-0.1404905115259572,5.918701509324483,38,29,-0.1385508595285861,3.780666382819736
13,13,13,13,threshold 0.98,max,12,0.0381150427745707,3.2283937335059694,41,32,-0.047693742124625,4.437682305641381
14,14,14,14,threshold 0.98,power,12,-0.0901805728873079,5.564330707480707,44,35,-0.064777722128565,5.973193135616517
15,15,15,15,threshold 0.999,std,12,-0.1572843831699128,5.041322750380085,47,38,-0.0196286870161516,4.399644924503808
16,16,16,16,threshold 0.999,max,12,0.0389847346076751,3.631835362827193,50,41,-0.0411518730658646,4.806327768212549
17,17,17,17,threshold 0.999,power,12,0.0529770479058713,3.322535786321451,53,0,0.0148567150623656,3.780212603536799
18,18,18,0,threshold 0.88,std,4,-0.0602659668496783,5.641923937872235,27,18,-0.0493871285650258,7.279874660952127
19,19,19,1,threshold 0.88,std,8,-0.0294270751048925,6.45600462862399,28,19,-0.0607777242117318,7.47039848677694
20,20,20,2,threshold 0.88,max,4,0.1529423415596029,2.22745216320826,30,21,0.0080449005417524,4.530738076867436
21,21,21,3,threshold 0.88,max,8,0.0774801023107037,2.9208135514447973,31,22,-0.0210612049957437,4.352253473041451
22,22,22,4,threshold 0.88,power,4,-0.0524046616581585,7.298675736320784,33,24,0.0053870108003224,7.771202775965551
23,23,23,5,threshold 0.88,power,8,-0.12106136586625,6.095998004142637,34,25,-0.1499038213921413,6.2853494244566415
24,24,24,6,threshold 0.98,std,4,0.1485505072261152,9.077746132516085,36,27,-0.0231859827719839,12.956957142538975
25,25,25,7,threshold 0.98,std,8,-0.1141136499816287,6.382574939161385,37,28,-0.0788595796544959,8.23214639169829
26,26,26,8,threshold 0.98,max,4,0.1166504511354845,2.5758384770279945,39,30,-0.0066178968242521,4.859191819583611
27,27,27,9,threshold 0.98,max,8,0.0569284476892412,3.679300942755794,40,31,-0.0164061132003472,4.765207404162165
28,28,28,10,threshold 0.98,power,4,0.0247243247451195,9.298424199163902,42,33,-0.0124271714928336,8.499168731630377
29,29,29,11,threshold 0.98,power,8,-0.0915126619039205,6.835197230457629,43,34,-0.0228721882877124,8.771501575349888
30,30,30,12,threshold 0.999,std,4,0.1028187626884558,5.018766339977704,45,36,0.1508449015380802,7.008432987645228
31,31,31,13,threshold 0.999,std,8,0.178172013438982,4.825456073025941,46,37,-0.0821965599749095,6.103891799243785
32,32,32,14,threshold 0.999,max,4,0.1023789981286796,2.8833529463195404,48,39,-0.0085494242762895,4.919858729291814
33,33,33,15,threshold 0.999,max,8,0.0491100848956556,3.708894553747968,49,40,-0.0422747543824807,4.763520068263304
34,34,34,16,threshold 0.999,power,4,0.240103965814672,10.385623869587228,51,0,-0.1337847871070515,11.393506746397032
35,35,35,17,threshold 0.999,power,8,0.2314181389083739,6.225926514244724,52,1,-0.1546096957506085,4.479093101613265
36,36,40,0,CCS CODES,std,4,-0.05819480240424,3.8719233243168407,0,0,-0.0742908416063733,5.046697556185694
37,37,41,1,CCS CODES,std,8,-0.0470020846291329,4.151037783452775,1,1,-0.0667275474131685,4.349619034839423
38,38,42,2,CCS CODES,max,4,0.230288727434747,1.548710403608346,3,3,0.113644570588265,2.409047737035692
39,39,43,3,CCS CODES,max,8,0.1536195897237048,2.0169996943021165,4,4,0.0677013727558388,3.231185284466049
40,40,44,4,CCS CODES,power,4,-0.0633193547572853,4.694374080692835,6,6,-0.0736980253097532,5.118757217488849
41,41,45,5,CCS CODES,power,8,-0.0540027451156913,3.553146477691371,7,7,-0.0648176687138784,4.985475445722278
42,42,46,6,LEVEL 3 CODES,std,4,0.0574669196496559,6.341334580136433,9,9,-0.0881443473599405,5.394136159781196
43,43,47,7,LEVEL 3 CODES,std,8,-0.0937756759799601,5.246163076092863,10,10,-0.0860698730080529,6.424408541187055
44,44,48,8,LEVEL 3 CODES,max,4,0.2124319134135124,1.769051846939386,12,3,0.1022330437782624,3.1489608057150305
45,45,49,9,LEVEL 3 CODES,max,8,0.1171286029095487,2.314512451523206,13,4,0.0692955655838579,3.588737855873611
46,46,50,10,LEVEL 3 CODES,power,4,-0.1024017828921538,6.742477325953054,15,6,-0.1015062421089907,4.222603412684928
47,47,51,11,LEVEL 3 CODES,power,8,-0.1264906031024373,6.00851605595094,16,7,-0.0487449031029202,5.541916605868689
48,48,52,12,threshold 0.95,std,4,-0.1063890111490103,6.920173275993671,18,9,0.0037744841807454,12.011973223279538
49,49,53,13,threshold 0.95,std,8,-0.1054719435759407,5.642521977029524,19,10,-0.0885812221779046,7.508995421951009
50,50,54,14,threshold 0.95,max,4,0.1288686773713296,2.445297626811872,21,12,-0.002946752648289,4.761551402092955
51,51,55,15,threshold 0.95,max,8,0.077678819797897,3.247262648132394,22,13,-0.0117408741963176,4.481203274071282
52,52,56,16,threshold 0.95,power,4,-0.1069801697077857,8.443710386631592,24,15,-0.0024528611201123,10.472810760267611
53,53,57,17,threshold 0.95,power,8,-0.1055446466907898,6.070464053400627,25,16,-0.1575110997497977,6.236615550923902
